Date,Price
2025-01-31,0
2025-01-30,9.9833
2025-01-29,19.8669
2025-01-28,29.552
2025-01-25,56.4642
2025-01-24,64.4218
2025-01-23,71.7356
2025-01-22,78.3327
2025-01-21,84.1471
2025-01-18,96.3558
2025-01-17,98.545
2025-01-16,99.7495
2025-01-15,99.9574
2025-01-14,99.1665
2025-01-11,90.9297
2025-01-10,86.3209
2025-01-09,80.8496
2025-01-08,74.5705
2025-01-07,67.5463
2025-01-04,42.738
2025-01-03,33.4988
2025-01-02,23.9249
2025-01-01,14.112
2024-12-31,4.1581
2024-12-28,-25.5541
2024-12-27,-35.0783
2024-12-26,-44.252
2024-12-25,-52.9836
2024-12-24,-61.1858
2024-12-21,-81.8277
2024-12-20,-87.1576
2024-12-19,-91.6166
2024-12-18,-95.1602
2024-12-17,-97.753
2024-12-14,-99.6165
2024-12-13,-98.2453
2024-12-12,-95.8924
2024-12-11,-92.5815
2024-12-10,-88.3455
2024-12-07,-70.554
2024-12-06,-63.1267
2024-12-05,-55.0686
2024-12-04,-46.4602
2024-12-03,-37.3877
2024-11-30,-8.3089
2024-11-29,1.6814
2024-11-28,11.6549
2024-11-27,21.512
2024-11-26,31.1541
2024-11-23,57.844
2024-11-22,65.6987
2024-11-21,72.8969
2024-11-20,79.3668
2024-11-19,85.0437
2024-11-16,96.792
2024-11-15,98.8168
2024-11-14,99.8543
2024-11-13,99.8941
2024-11-12,98.9358
2024-11-09,90.2172
2024-11-08,85.4599
2024-11-07,79.8487
2024-11-06,73.4397
2024-11-05,66.2969
2024-11-02,41.2118
2024-11-01,31.9098
2024-10-31,22.289
2024-10-30,12.4454
2024-10-29,2.4775
2024-10-26,-27.1761
2024-10-25,-36.6479
2024-10-24,-45.7536
2024-10-23,-54.4021
2024-10-22,-62.5071
2024-10-19,-82.7826
2024-10-18,-87.9696
2024-10-17,-92.2775
2024-10-16,-95.6635
2024-10-15,-98.0936
2024-10-12,-99.4553
2024-10-11,-97.9178
2024-10-10,-95.4019
2024-10-09,-91.9329
2024-10-08,-87.5452
2024-10-05,-69.3525
2024-10-04,-61.8137
2024-10-03,-53.6573
2024-10-02,-44.9647
2024-10-01,-35.8229
2024-09-28,-6.6322
2024-09-27,3.3623
2024-09-26,13.3232
2024-09-25,23.151
2024-09-24,32.7474
2024-09-21,59.2074
2024-09-20,66.957
2024-09-19,74.0376
2024-09-18,80.3784
2024-09-17,85.9162
2024-09-14,97.2008
2024-09-13,99.0607
2024-09-12,99.9309
2024-09-11,99.8027
2024-09-10,98.6772
2024-09-07,89.4791
2024-09-06,84.5747
2024-09-05,78.8252
2024-09-04,72.2881
2024-09-03,65.0288
2024-08-31,39.6741
2024-08-30,30.3118
2024-08-29,20.6467
2024-08-28,10.7754
2024-08-27,0.7963
2024-08-24,-28.7903
2024-08-23,-38.2071
2024-08-22,-47.2422
2024-08-21,-55.8052
2024-08-20,-63.8107
2024-08-17,-83.7142
2024-08-16,-88.7567
2024-08-15,-92.9124
2024-08-14,-96.1397
2024-08-13,-98.4065
2024-08-10,-99.2659
2024-08-09,-97.5626
2024-08-08,-94.8844
2024-08-07,-91.2582
2024-08-06,-86.7202
2024-08-03,-68.1314
2024-08-02,-60.4833
2024-08-01,-52.2309
2024-07-31,-43.4566
2024-07-30,-34.2481
2024-07-27,-4.9536
2024-07-26,5.0423
2024-07-25,14.9877
2024-07-24,24.7834
2024-07-23,34.3315
2024-07-20,60.554
2024-07-19,68.1964
2024-07-18,75.1573
2024-07-17,81.3674
2024-07-16,86.7644
2024-07-13,97.5821
2024-07-12,99.2766
2024-07-11,99.9793
2024-07-10,99.683
2024-07-09,98.3907
2024-07-06,88.7158
2024-07-05,83.6656
2024-07-04,77.7794
2024-07-03,71.1161
2024-07-02,63.7423
2024-06-29,38.125
2024-06-28,28.7053
2024-06-27,18.9987
2024-06-26,9.1022
2024-06-25,-0.8851
2024-06-22,-30.3965
2024-06-21,-39.7556
2024-06-20,-48.7175
2024-06-19,-57.1926
2024-06-18,-65.0962
2024-06-15,-84.622
2024-06-14,-89.5187
2024-06-13,-93.521
2024-06-12,-96.5888
2024-06-11,-98.6916
2024-06-08,-99.0486
2024-06-07,-97.1798
2024-06-06,-94.3401
2024-06-05,-90.5578
2024-06-04,-85.8707
2024-06-01,-66.891
2024-05-31,-59.1358
2024-05-30,-50.7897
2024-05-29,-41.9361
2024-05-28,-32.6635
2024-05-25,-3.2735
2024-05-24,6.7208
2024-05-23,16.648
2024-05-22,26.4089
2024-05-21,35.9058
2024-05-18,61.8835
2024-05-17,69.4165
2024-05-16,76.2558
2024-05-15,82.3333
2024-05-14,87.5881
2024-05-11,97.9358
2024-05-10,99.4645
2024-05-09,99.9994
2024-05-08,99.5351
2024-05-07,98.0763
2024-05-04,87.9273
2024-05-03,82.7328
2024-05-02,76.7116
2024-05-01,69.924
2024-04-30,62.4377
2024-04-27,36.5653
2024-04-26,27.0906
2024-04-25,17.3452
2024-04-24,7.4265
2024-04-23,-2.5663
2024-04-20,-31.994
2024-04-19,-41.2928
2024-04-18,-50.1789
2024-04-17,-58.5637
2024-04-16,-66.3634
2024-04-13,-85.506
2024-04-12,-90.2555
2024-04-11,-94.1031
2024-04-10,-97.0106
2024-04-09,-98.9487
2024-04-06,-98.8032
2024-04-05,-96.7696
2024-04-04,-93.7692
2024-04-03,-89.8318
2024-04-02,-84.9969
2024-03-30,-65.6317
2024-03-29,-57.7715
2024-03-28,-49.3341
2024-03-27,-40.4038
2024-03-26,-31.0697
2024-03-23,-1.5926
2024-03-22,8.3974
2024-03-21,18.3036
2024-03-20,28.0268
2024-03-19,37.47
2024-03-16,63.1955
2024-03-15,70.6169
2024-03-14,77.3328
2024-03-13,83.2759
2024-03-12,88.387
2024-03-09,98.2618
2024-03-08,99.6242
2024-03-07,99.9912
2024-03-06,99.3591
2024-03-05,97.7343
2024-03-02,87.114
2024-03-01,81.7766
2024-02-29,75.6222
2024-02-28,68.7121
2024-02-27,61.1155
2024-02-24,34.9951
2024-02-23,25.4682
2024-02-22,15.6869
2024-02-21,5.7487
2024-02-20,-4.2468
2024-02-17,-33.5825
2024-02-16,-42.8183
2024-02-15,-51.6262
2024-02-14,-59.9183
2024-02-13,-67.6118
2024-02-10,-86.3657
2024-02-09,-90.9667
2024-02-08,-94.6587
2024-02-07,-97.4049
2024-02-06,-99.1779
2024-02-03,-98.5298
2024-02-02,-96.332
2024-02-01,-93.1717
2024-01-31,-89.0804
2024-01-30,-84.0991
2024-01-27,-64.3538
2024-01-26,-56.3909
2024-01-25,-47.8646
2024-01-24,-38.86
2024-01-23,-29.4672
2024-01-20,0.0888
2024-01-19,10.0717
2024-01-18,19.954
2024-01-17,29.6369
2024-01-16,39.0236
2024-01-13,64.4897
2024-01-12,71.7975
2024-01-11,78.3879
2024-01-10,84.1951
2024-01-09,89.161
2024-01-06,98.56
2024-01-05,99.7557
2024-01-04,99.9547
2024-01-03,99.155
2024-01-02,97.3645
2023-12-30,86.2761
2023-12-29,80.7973
2023-12-28,74.5113
2023-12-27,67.4808
2023-12-26,59.776
2023-12-23,33.4151
2023-12-22,23.8387
2023-12-21,14.0241
2023-12-20,4.0693
2023-12-19,-5.9261
2023-12-16,-35.1615
2023-12-15,-44.3317
2023-12-14,-53.0589
2023-12-13,-61.256
2023-12-12,-68.8411
2023-12-09,-87.2011
2023-12-08,-91.6522
2023-12-07,-95.1875
2023-12-06,-97.7717
2023-12-05,-99.379
2023-12-02,-98.2287
2023-12-01,-95.8672
2023-11-30,-92.5479
2023-11-29,-88.3038
2023-11-28,-83.1775
2023-11-25,-63.0578
2023-11-24,-54.9944
2023-11-23,-46.3816
2023-11-22,-37.3053
2023-11-21,-27.8563
2023-11-18,1.7702
2023-11-17,11.7431
2023-11-16,21.5987
2023-11-15,31.2385
2023-11-14,40.5662
2023-11-11,65.7656
2023-11-10,72.9577
2023-11-09,79.4208
2023-11-08,85.0904
2023-11-07,89.9097
2023-11-04,98.8304
2023-11-03,99.8591
2023-11-02,99.89
2023-11-01,98.9229
2023-10-31,96.9673
2023-10-28,85.4137
2023-10-27,79.7952
2023-10-26,73.3794
2023-10-25,66.2304
2023-10-24,58.4197
2023-10-21,31.8257
2023-10-20,22.2024
2023-10-19,12.3573
2023-10-18,2.3888
2023-10-17,-7.6037
2023-10-14,-36.7305
2023-10-13,-45.8325
2023-10-12,-54.4766
2023-10-11,-62.5764
2023-10-10,-70.0509
2023-10-07,-88.0118
2023-10-06,-92.3117
2023-10-05,-95.6893
2023-10-04,-98.1108
2023-10-03,-99.5521
2023-09-30,-97.8997
2023-09-29,-95.3753
2023-09-28,-91.8979
2023-09-27,-87.5023
2023-09-26,-82.2324
2023-09-23,-61.7439
2023-09-22,-53.5823
2023-09-21,-44.8854
2023-09-20,-35.74
2023-09-19,-26.2375
2023-09-16,3.4511
2023-09-15,13.4112
2023-09-14,23.2374
2023-09-13,32.8313
2023-09-12,42.0973
2023-09-09,67.0229
2023-09-08,74.0973
2023-09-07,80.4312
2023-09-06,85.9616
2023-09-05,90.633
2023-09-02,99.0728
2023-09-01,99.9342
2023-08-31,99.797
2023-08-30,98.6628
2023-08-29,96.5427
2023-08-26,84.5273
2023-08-25,78.7705
2023-08-24,72.2267
2023-08-23,64.9613
2023-08-22,57.0468
2023-08-19,30.2272
2023-08-18,20.5598
2023-08-17,10.6871
2023-08-16,0.7075
2023-08-15,-9.2791
2023-08-12,-38.2892
2023-08-11,-47.3205
2023-08-10,-55.8789
2023-08-09,-63.879
2023-08-08,-71.2409
2023-08-05,-88.7976
2023-08-04,-92.9452
2023-08-03,-96.1642
2023-08-02,-98.4223
2023-08-01,-99.697
2023-07-29,-97.5431
2023-07-28,-94.8564
2023-07-27,-91.2219
2023-07-26,-86.676
2023-07-25,-81.264
2023-07-22,-60.4125
2023-07-21,-52.1551
2023-07-20,-43.3766
2023-07-19,-34.1646
2023-07-18,-24.6113
2023-07-15,5.131
2023-07-14,15.0755
2023-07-13,24.8695
2023-07-12,34.4149
2023-07-11,43.6165
2023-07-08,68.2613
2023-07-07,75.2159
2023-07-06,81.419
2023-07-05,86.8085
2023-07-04,91.3307
2023-07-01,99.2873
2023-06-30,99.9811
2023-06-29,99.6759
2023-06-28,98.3748
2023-06-27,96.0907
2023-06-24,83.6169
2023-06-23,77.7236
2023-06-22,71.0537
2023-06-21,63.6738
2023-06-20,55.6577
2023-06-17,28.6202
2023-06-16,18.9115
2023-06-15,9.0138
2023-06-14,-0.9739
2023-06-13,-10.9519
2023-06-10,-39.837
2023-06-09,-48.795
2023-06-08,-57.2654
2023-06-07,-65.1636
2023-06-06,-72.4108
2023-06-03,-89.5583
2023-06-02,-93.5524
2023-06-01,-96.6118
2023-05-31,-98.7058
2023-05-30,-99.8137
2023-05-27,-97.1589
2023-05-26,-94.3107
2023-05-25,-90.5201
2023-05-24,-85.8252
2023-05-23,-80.2726
2023-05-20,-59.0641
2023-05-19,-50.7131
2023-05-18,-41.8554
2023-05-17,-32.5796
2023-05-16,-22.9781
2023-05-13,6.8094
2023-05-12,16.7356
2023-05-11,26.4945
2023-05-10,35.9887
2023-05-09,45.1233
2023-05-06,69.4804
2023-05-05,76.3133
2023-05-04,82.3837
2023-05-03,87.6309
2023-05-02,92.0026
2023-04-29,99.4736
2023-04-28,99.9996
2023-04-27,99.5265
2023-04-26,98.0589
2023-04-25,95.6116
2023-04-22,82.6829
2023-04-21,76.6546
2023-04-20,69.8605
2023-04-19,62.3683
2023-04-18,54.253
2023-04-15,27.0051
2023-04-14,17.2577
2023-04-13,7.338
2023-04-12,-2.6551
2023-04-11,-12.6217
2023-04-08,-41.3736
2023-04-07,-50.2557
2023-04-06,-58.6357
2023-04-05,-66.4298
2023-04-04,-73.5602
2023-04-01,-90.2937
2023-03-31,-94.1332
2023-03-30,-97.0321
2023-03-29,-98.9615
2023-03-28,-99.9021
2023-03-25,-96.7472
2023-03-24,-93.7383
2023-03-23,-89.7928
2023-03-22,-84.9501
2023-03-21,-79.2586
2023-03-18,-57.699
2023-03-17,-49.2568
2023-03-16,-40.3225
2023-03-15,-30.9853
2023-03-14,-21.3385
2023-03-11,8.4859
2023-03-10,18.3909
2023-03-09,28.1121
2023-03-08,37.5524
2023-03-07,46.6174
2023-03-04,70.6798
2023-03-03,77.3891
2023-03-02,83.3251
2023-03-01,88.4285
2023-02-28,92.6485
2023-02-25,99.6318
2023-02-24,99.99
2023-02-23,99.349
2023-02-22,97.7154
2023-02-21,95.1055
2023-02-18,81.7255
2023-02-17,75.564
2023-02-16,68.6476
2023-02-15,61.0452
2023-02-14,52.8329
2023-02-11,25.3823
2023-02-10,15.5991
2023-02-09,5.6601
2023-02-08,-4.3355
2023-02-07,-14.2878
2023-02-04,-42.8985
2023-02-03,-51.7023
2023-02-02,-59.9894
2023-02-01,-67.6772
2023-01-31,-74.6888
2023-01-28,-91.0035
2023-01-27,-94.6873
2023-01-26,-97.425
2023-01-25,-99.1892
2023-01-24,-99.9624
2023-01-21,-96.3082
2023-01-20,-93.1394
2023-01-19,-89.04
2023-01-18,-84.051
2023-01-17,-78.2222
2023-01-14,-56.3176
2023-01-13,-47.7866
2023-01-12,-38.7782
2023-01-11,-29.3823
2023-01-10,-19.6928
2023-01-07,10.1601
2023-01-06,20.041
2023-01-05,29.7217
2023-01-04,39.1054
2023-01-03,48.0984
2022-12-31,71.8593
2022-12-30,78.443
2022-12-29,84.2429
2022-12-28,89.2012
2022-12-27,93.2681
2022-12-24,99.7619
2022-12-23,99.952
2022-12-22,99.1434
2022-12-21,97.3443
2022-12-20,94.5724
2022-12-17,80.745
2022-12-16,74.4521
2022-12-15,67.4152
2022-12-14,59.7048
2022-12-13,51.3978
2022-12-10,23.7524
2022-12-09,13.9361
2022-12-08,3.9806
2022-12-07,-6.0147
2022-12-06,-15.95
2022-12-03,-44.4113
2022-12-02,-53.1342
2022-12-01,-61.3262
2022-11-30,-68.9055
2022-11-29,-75.7962
2022-11-26,-91.6876
2022-11-25,-95.2146
2022-11-24,-97.7903
2022-11-23,-99.3889
2022-11-22,-99.9944
2022-11-19,-95.8419
2022-11-18,-92.5142
2022-11-17,-88.2621
2022-11-16,-83.1281
2022-11-15,-77.1636
2022-11-12,-54.9202
2022-11-11,-46.3028
2022-11-10,-37.2229
2022-11-09,-27.7709
2022-11-08,-18.0416
2022-11-05,11.8313
2022-11-04,21.6854
2022-11-03,31.3229
2022-11-02,40.6474
2022-11-01,49.5657
2022-10-29,73.0184
2022-10-28,79.4747
2022-10-27,85.137
2022-10-26,89.9486
2022-10-25,93.8614
2022-10-22,99.8638
2022-10-21,99.8858
2022-10-20,98.9098
2022-10-19,96.9456
2022-10-18,94.0127
2022-10-15,79.7416
2022-10-14,73.319
2022-10-13,66.1638
2022-10-12,58.3476
2022-10-11,49.9483
2022-10-08,22.1158
2022-10-07,12.2692
2022-10-06,2.3
2022-10-05,-7.6922
2022-10-04,-17.6076
2022-10-01,-45.9115
2022-09-30,-54.5511
2022-09-29,-62.6456
2022-09-28,-70.1142
2022-09-27,-76.8823
2022-09-24,-92.3458
2022-09-23,-95.7151
2022-09-22,-98.128
2022-09-21,-99.5604
2022-09-20,-99.9981
2022-09-17,-95.3485
2022-09-16,-91.8628
2022-09-15,-87.4592
2022-09-14,-82.1818
2022-09-13,-76.0832
2022-09-10,-53.5073
2022-09-09,-44.806
2022-09-08,-35.657
2022-09-07,-26.1518
2022-09-06,-16.3852
2022-09-03,13.4992
2022-09-02,23.3238
2022-09-01,32.9152
2022-08-31,42.1778
2022-08-30,51.019
2022-08-27,74.1569
2022-08-26,80.484
2022-08-25,86.0069
2022-08-24,90.6705
2022-08-23,94.4282
2022-08-20,99.9374
2022-08-19,99.7914
2022-08-18,98.6482
2022-08-17,96.5195
2022-08-16,93.4263
2022-08-13,78.7158
2022-08-12,72.1653
2022-08-11,64.8937
2022-08-10,56.9738
2022-08-09,48.4846
2022-08-06,20.4729
2022-08-05,10.5988
2022-08-04,0.6187
2022-08-03,-9.3676
2022-08-02,-19.2602
2022-07-30,-47.3987
2022-07-29,-55.9525
2022-07-28,-63.9473
2022-07-27,-71.3032
2022-07-26,-77.9466
2022-07-23,-92.9779
2022-07-22,-96.1885
2022-07-21,-98.4379
2022-07-20,-99.7038
2022-07-19,-99.9735
2022-07-16,-94.8282
2022-07-15,-91.1855
2022-07-14,-86.6316
2022-07-13,-81.2122
2022-07-12,-74.9813
2022-07-09,-52.0793
2022-07-08,-43.2965
2022-07-07,-34.0811
2022-07-06,-24.5252
2022-07-05,-14.7242
2022-07-02,15.1633
2022-07-01,24.9555
2022-06-30,34.4983
2022-06-29,43.6964
2022-06-28,52.4579
2022-06-25,75.2744
2022-06-24,81.4705
2022-06-23,86.8526
2022-06-22,91.3669
2022-06-21,94.9682
2022-06-18,99.9827
2022-06-17,99.6687
2022-06-16,98.3588
2022-06-15,96.0661
2022-06-14,92.8135
2022-06-11,77.6676
2022-06-10,70.9911
2022-06-09,63.6053
2022-06-08,55.5839
2022-06-07,47.0072
2022-06-04,18.8242
2022-06-03,8.9253
2022-06-02,-1.0628
2022-06-01,-11.0402
2022-05-31,-20.9074
2022-05-28,-48.8725
2022-05-27,-57.3382
2022-05-26,-65.231
2022-05-25,-72.472
2022-05-24,-78.9889
2022-05-21,-93.5837
2022-05-20,-96.6347
2022-05-19,-98.72
2022-05-18,-99.819
2022-05-17,-99.9207
2022-05-14,-94.2811
2022-05-13,-90.4823
2022-05-12,-85.7795
2022-05-11,-80.2196
2022-05-10,-73.8582
2022-05-07,-50.6366
2022-05-06,-41.7748
2022-05-05,-32.4956
2022-05-04,-22.8917
2022-05-03,-13.0591
2022-04-30,16.8231
2022-04-29,26.5801
2022-04-28,36.0716
2022-04-27,45.2026
2022-04-26,53.8819
2022-04-23,76.3706
2022-04-22,82.434
2022-04-21,87.6737
2022-04-20,92.0374
2022-04-19,95.4815
2022-04-16,99.9998
2022-04-15,99.5178
2022-04-14,98.0415
2022-04-13,95.5855
2022-04-12,92.1745
2022-04-09,76.5976
2022-04-08,69.7969
2022-04-07,62.2989
2022-04-06,54.1784
2022-04-05,45.5165
2022-04-02,17.1702
2022-04-01,7.2494
2022-03-31,-2.7439
2022-03-30,-12.7098
2022-03-29,-22.5487
2022-03-26,-50.3325
2022-03-25,-58.7076
2022-03-24,-66.4962
2022-03-23,-73.6203
2022-03-22,-80.0088
2022-03-19,-94.1631
2022-03-18,-97.0535
2022-03-17,-98.9742
2022-03-16,-99.906
2022-03-15,-99.8396
2022-03-12,-93.7073
2022-03-11,-89.7536
2022-03-10,-84.9032
2022-03-09,-79.2044
2022-03-08,-72.7143
2022-03-05,-49.1795
2022-03-04,-40.2412
2022-03-03,-30.9008
2022-03-02,-21.2517
2022-03-01,-11.3902
2022-02-26,18.4782
2022-02-25,28.1973
2022-02-24,37.6347
2022-02-23,46.696
2022-02-22,55.2908
2022-02-19,77.4453
2022-02-18,83.3742
2022-02-17,88.47
2022-02-16,92.6819
2022-02-15,95.9677
2022-02-12,99.9887
2022-02-11,99.3389
2022-02-10,97.6965
2022-02-09,95.078
2022-02-08,91.5095
2022-02-05,75.5058
2022-02-04,68.5829
2022-02-03,60.9748
2022-02-02,52.7575
2022-02-01,44.0129
2022-01-29,15.5114
2022-01-28,5.5714
2022-01-27,-4.4243
2022-01-26,-14.3757
2022-01-25,-24.1836
2022-01-22,-51.7783
2022-01-21,-60.0605
2022-01-20,-67.7426
2022-01-19,-74.7478
2022-01-18,-81.0062
2022-01-15,-94.7158
2022-01-14,-97.445
2022-01-13,-99.2005
2022-01-12,-99.9648
2022-01-11,-99.7303
2022-01-08,-93.107
2022-01-07,-88.9996
2022-01-06,-84.0028
2022-01-05,-78.1668
2022-01-04,-71.5497
2022-01-01,-47.7086
2021-12-31,-38.6963
2021-12-30,-29.2974
2021-12-29,-19.6057
2021-12-28,-9.7182
2021-12-25,20.128
2021-12-24,29.8065
2021-12-23,39.1871
2021-12-22,48.1762
2021-12-21,56.684
2021-12-18,78.498
2021-12-17,84.2908
2021-12-16,89.2413
2021-12-15,93.3001
2021-12-14,96.4268
2021-12-11,99.9492
2021-12-10,99.1318
2021-12-09,97.3239
2021-12-08,94.5435
2021-12-07,90.8185
2021-12-04,74.3927
2021-12-03,67.3496
2021-12-02,59.6335
2021-12-01,51.3216
2021-11-30,42.4969
2021-11-27,13.8482
2021-11-26,3.8918
2021-11-25,-6.1034
2021-11-24,-16.0376
2021-11-23,-25.8116
2021-11-20,-53.2094
2021-11-19,-61.3963
2021-11-18,-68.9698
2021-11-17,-75.8541
2021-11-16,-81.9806
2021-11-13,-95.2418
2021-11-12,-97.8088
2021-11-11,-99.3986
2021-11-10,-99.9953
2021-11-09,-99.5928
2021-11-06,-92.4804
2021-11-05,-88.2203
2021-11-04,-83.0787
2021-11-03,-77.1071
2021-11-02,-70.365
2021-10-30,-46.2241
2021-10-29,-37.1404
2021-10-28,-27.6856
2021-10-27,-17.9542
2021-10-26,-8.0434
2021-10-23,21.7721
2021-10-22,31.4072
2021-10-21,40.7285
2021-10-20,49.6428
2021-10-19,58.0611
2021-10-16,79.5286
2021-10-15,85.1835
2021-10-14,89.9873
2021-10-13,93.892
2021-10-12,96.8586
2021-10-09,99.8815
2021-10-08,98.8967
2021-10-07,96.9237
2021-10-06,93.9824
2021-10-05,90.1019
2021-10-02,73.2586
2021-10-01,66.0972
2021-09-30,58.2754
2021-09-29,49.8713
2021-09-28,40.9689
2021-09-25,12.181
2021-09-24,2.2112
2021-09-23,-7.7808
2021-09-22,-17.695
2021-09-21,-27.4324
2021-09-18,-54.6255
2021-09-17,-62.7148
2021-09-16,-70.1775
2021-09-15,-76.9391
2021-09-14,-82.9318
2021-09-11,-95.7408
2021-09-10,-98.1451
2021-09-09,-99.5687
2021-09-08,-99.9975
2021-09-07,-99.4271
2021-09-04,-91.8277
2021-09-03,-87.4161
2021-09-02,-82.1311
2021-09-01,-76.0255
2021-08-31,-69.1603
2021-08-28,-44.7266
2021-08-27,-35.574
2021-08-26,-26.066
2021-08-25,-16.2976
2021-08-24,-6.3663
2021-08-21,23.4101
2021-08-20,32.9991
2021-08-19,42.2583
2021-08-18,51.0954
2021-08-17,59.4219
2021-08-14,80.5367
2021-08-13,86.0522
2021-08-12,90.708
2021-08-11,94.4574
2021-08-10,97.263
2021-08-07,99.7856
2021-08-06,98.6337
2021-08-05,96.4962
2021-08-04,93.3946
2021-08-03,89.3598
2021-07-31,72.1038
2021-07-30,64.8261
2021-07-29,56.9008
2021-07-28,48.4069
2021-07-27,39.4293
2021-07-24,10.5104
